Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views,price,market_cap,volume
2024-09-29,XRP,2110,377,269,241257,0.8406591736800947,0.8110693493633953,0.8208376934606042,0.059553191335308,0.0740252791992042,0.0728989046607911,0.0997876359090047,0.1149053696233421,0.1062634015804847,0.6150093639492326,34786926383.63196,2770313435.4847174
2024-09-30,BITCOIN,2173,277,346,251666,0.7536764818352508,0.7220493422743682,0.641990074290218,0.0686759033115508,0.109951132601083,0.1000753452988246,0.1776476194440865,0.1679995200144404,0.2579345869405919,65663.68986662335,1297825615076.3352,12948707838.938381
2024-09-30,DOGE,4288,885,765,210006,0.8926569313092351,0.902831714497175,0.8797174032087606,0.0300850976330457,0.0283477289875706,0.0380977093013366,0.0772579198250933,0.0688204893751412,0.0821848571181061,0.12475967032593717,18237685842.994255,980842375.1104261
2024-09-30,ETH,1349,204,224,113938,0.8761186999481095,0.8632838357352941,0.8954938140245572,0.0624183636653076,0.0722220268382353,0.0479571432920096,0.0614629414366197,0.0644941372107843,0.0565490463080798,2659.611211611689,320146112155.9396,9570811494.068226
2024-09-30,MAGA,1892,207,95,70356,0.8709513499312896,0.7641969522705313,0.858920645934675,0.0595942961136363,0.0611732081400966,0.0514891936727215,0.0694543262669133,0.1746298154782608,0.0895901421718261,2.985607958589141,137613126.1277796,4839856.160293828
2024-09-30,NEAR,1933,436,178,234066,0.5844958975866529,0.5987113075458717,0.609387645099177,0.3717255278468702,0.3582489489747706,0.3438503806073287,0.0437785687092602,0.0430397372912844,0.0467619664287935,5.4902251476393875,6071180600.973379,344125111.9478389
2024-09-30,PEPE,1214,191,65,75966,0.8300419015947283,0.7779674587958115,0.8119769784915621,0.0378227633418451,0.0332509650575916,0.0412620971975357,0.1321353572495881,0.18878157613089,0.1467609194948398,1.1309594545409278e-05,4757329960.857461,2345341027.0918837
2024-09-30,SOLANA,1034,376,585,56292,0.8444483281740813,0.8604471906914893,0.8485698520137497,0.0616643180546421,0.0575346485478723,0.0564550709936314,0.0938873776416827,0.0820181898723404,0.0949750860682157,158.623421883811,74369588837.65268,2258758247.1894245
2024-09-30,XRP,1235,228,97,83301,0.585983930302834,0.5258598980701755,0.7233242668424269,0.1119767815615384,0.0848087677938596,0.1022300486089122,0.302039279454251,0.3893313235263158,0.1744456861226276,0.6425919277698904,36340530782.95552,2594472533.021398
2024-10-01,BITCOIN,2402,420,330,178735,0.8393126784371356,0.802772401497619,0.7138755054024729,0.0484987616307244,0.0633485866559523,0.1702761501520603,0.1121885451765195,0.1338790033904761,0.1158483474574537,63243.27532464382,1249577803402.1707,35124446789.27111
2024-10-01,DOGE,7728,1070,743,185566,0.8858171522295549,0.8758165067289718,0.8811390300354591,0.0703254607644927,0.0716894033481308,0.0649714634186569,0.0438574123931159,0.0524941143448598,0.0538895216608592,0.11409373123635111,16668359315.555267,1119199764.7365375
2024-10-01,ETH,874,142,155,70985,0.777908304229977,0.8001871880985916,0.7650309485519757,0.1085414733604118,0.0946639019647887,0.1373725939178559,0.1135502144622425,0.1051488872042253,0.0975964502573079,2597.3411516834435,312577514239.3695,17539259209.42195
2024-10-01,MAGA,26209,3460,594,702836,0.9302694450047694,0.9299374513063584,0.9279243635433072,0.0201651962608264,0.0208139645734104,0.0209741376534838,0.0495653503380899,0.0492485776104046,0.0511014903603671,2.8310117215752046,130137685.41076772,4060212.4399338467
2024-10-01,NEAR,4918,853,240,167473,0.8677844050183002,0.8327048368745604,0.7384301555634819,0.0856349030860105,0.121418604024619,0.199075652811492,0.0465807003253355,0.0458765747878077,0.0624941948307607,5.28073635232926,5845113482.661783,470680563.88627666
2024-10-01,PEPE,1107,152,76,86563,0.8356708544173441,0.8417637758552632,0.8342661864403613,0.0520861426621499,0.0392273629407894,0.0427200126110925,0.112242993767841,0.1190088565657894,0.1230137857793052,1.048366373875091e-05,4409168728.951021,2025974490.9513774
2024-10-01,SOLANA,2202,870,377,155832,0.7684537203801088,0.8491950207218392,0.7393378723958943,0.0676919832555404,0.0320567900597701,0.0776675553136602,0.1638542864545867,0.1187481822747126,0.1829945605488026,152.54403421201002,71395922727.94426,2919586309.5452104
2024-10-01,XRP,2856,546,228,200679,0.7655117365721289,0.727302486978022,0.7426023542605854,0.0852387797724089,0.0789680226840659,0.0700902914017984,0.1492494851495098,0.1937294868388278,0.1873073480725886,0.6119339379239672,34688823292.79782,2572233994.51974
2024-10-02,BITCOIN,2092,394,272,215402,0.6710468015607074,0.6781877824086294,0.6774661558918348,0.1800600777554971,0.1488183242233502,0.1776937095267778,0.1488931294115678,0.172993900857868,0.144840138440683,60872.668543725544,1202927109017.5488,54251488433.95029
2024-10-02,DOGE,6497,1009,543,320306,0.8040310500560257,0.805690983022795,0.8086150699069922,0.0152771164413575,0.0119814000227948,0.0137772518113444,0.1806918429496691,0.1823276263151635,0.1776076874550492,0.10714490765597601,15663199002.570282,1476122207.633925
2024-10-02,ETH,2356,391,246,229109,0.8737363776018674,0.8671366492838876,0.8961175822992112,0.0535611551039898,0.0535476530409207,0.0580231460838116,0.0727024986566213,0.0793157348951406,0.0458593011500552,2451.631522589772,295243912099.71765,26538568534.282005
2024-10-02,MAGA,2967,455,290,117689,0.8370690086686889,0.8386022981538462,0.8620730462674082,0.1117442176555443,0.1185186117824175,0.0864781463855585,0.0511867753919784,0.0428791093252747,0.0514488035910747,2.9963306392234843,137983350.48847133,9997298.762523543
2024-10-02,NEAR,4984,609,538,301970,0.7455165137008427,0.625165892594417,0.7135286660237574,0.1881921037919341,0.3168780989376026,0.1986643744967348,0.0662913846227929,0.0579560062430213,0.0878069713423601,4.840727991149853,5362608942.996704,713641083.6152624
2024-10-02,PEPE,1623,316,131,125908,0.7739964430191004,0.7577140037025316,0.7279390578951298,0.0345852858382624,0.0283569948765822,0.1463155076313776,0.1914182725896487,0.2139290013322785,0.1257454273480795,9.696832663097047e-06,4079360533.0382967,3313779487.8398337
2024-10-02,SOLANA,1419,404,733,108712,0.8330824883100777,0.8518347474504951,0.8219489984133859,0.0430459290613107,0.0286233660544554,0.0455681598616114,0.1238715823185341,0.1195418639356435,0.1324828416353935,145.20896405799175,68058487039.17453,4888868006.422661
