Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views
2024-10-02,NEAR,4984,609,538,301970,0.7455165137008427,0.625165892594417,0.7135286660237574,0.18819210379193418,0.31687809893760266,0.1986643744967348,0.06629138462279295,0.05795600624302136,0.08780697134236018
2024-10-02,PEPE,1623,316,131,125908,0.7739964430191004,0.7577140037025316,0.7279390578951298,0.03458528583826248,0.028356994876582272,0.14631550763137768,0.19141827258964877,0.2139290013322785,0.12574542734807953
2024-10-02,SOLANA,1419,404,733,108712,0.8330824883100777,0.8518347474504951,0.8219489984133859,0.04304592906131077,0.028623366054455444,0.04556815986161141,0.12387158231853418,0.11954186393564357,0.1324828416353935
2024-10-02,XRP,2958,345,400,321396,0.8595420116227179,0.8445081105217391,0.8405202605195149,0.062431062443881004,0.06348212209275363,0.06362275634171241,0.07802691601791752,0.0920097453942029,0.09585698721590499
2024-10-03,BITCOIN,1569,190,260,198237,0.5730001112976418,0.6038270236842106,0.6545837744989986,0.2769792955363289,0.26986850071052626,0.20418880675146162,0.1500205866312938,0.12630447021578947,0.14122742155049764
2024-10-03,DOGE,9062,1809,1597,4178913,0.9086990132822775,0.9039367309585408,0.9068441767815697,0.04792772344730744,0.06427567724847982,0.06530341956217955,0.04337327825457957,0.03178762558761747,0.02785244030947737
2024-10-03,ETH,1035,146,212,61528,0.7769036252425121,0.7918933632876713,0.8286598632291314,0.12531699412077296,0.11331572124657534,0.07945601844241647,0.09777938215169082,0.09479092130821917,0.09188412839006631
2024-10-03,MAGA,3486,649,135,142759,0.8535928482696499,0.7984971250077042,0.869236688415063,0.07162728784165233,0.09460682306163329,0.056058482901925624,0.07477984789716006,0.10689605067026195,0.07470480292053742
2024-10-03,NEAR,4095,584,183,302106,0.7313011293965812,0.6632752070976027,0.6231910287542419,0.22313232264407815,0.2902671680351027,0.33685222705758244,0.04556652436349207,0.04645760114554795,0.039956728030206286
2024-10-03,PEPE,3870,380,171,156901,0.7138090702015505,0.7690567421052631,0.7570396525054844,0.0839692034237726,0.073771668,0.07045610812948928,0.20222171020930232,0.1571715745,0.1725042264628715
2024-10-03,SOLANA,1201,356,496,143560,0.8048402313613655,0.7911533552893257,0.8015963610096546,0.09826613074604494,0.11100637833426966,0.08353089027695737,0.09689364117568693,0.09784026453370787,0.11487276453631233
2024-10-03,XRP,6867,2174,284,498437,0.875144855001165,0.8971408259843606,0.833323677814189,0.04637060148186981,0.035679733599816,0.0810282602761352,0.07848454338502986,0.06717944129116836,0.08564806208310377
2024-10-04,BITCOIN,1823,320,284,116912,0.7707144614893034,0.8129283199999999,0.7493751459082559,0.13012811884805267,0.11463038151562502,0.11441966960162342,0.09915741752166758,0.07244129264062502,0.13620519247470747
2024-10-04,DOGE,6758,1109,502,232692,0.4951053333959751,0.2732735738683499,0.6185076800188747,0.4384454264861644,0.6751944205554554,0.3158143271114026,0.06644924417364605,0.0515319917037872,0.06567799899560363
2024-10-04,ETH,1601,212,303,109393,0.8922419461386634,0.8885065218679246,0.8615911322971488,0.03877136478981886,0.028862048075471696,0.06004088423593374,0.06898668336039976,0.08263143398584907,0.07836798590072493
2024-10-04,MAGA,10204,3248,1014,356007,0.6052032032820462,0.5766985180541871,0.6566014289162854,0.3299970126593493,0.3653877174941502,0.295295134288191,0.06479980337161899,0.057913786991379314,0.048103454500785105
2024-10-04,NEAR,4348,1105,184,189995,0.7324913959174334,0.7096203141122172,0.638541615854212,0.21760424689811406,0.24641953587149318,0.30881025470200796,0.049904328272079114,0.04396012054389141,0.05264811723725362
2024-10-04,PEPE,3997,442,269,327559,0.8266024996707532,0.832576462918552,0.8191615948162866,0.041533105958719035,0.034066962389140275,0.05314153879352422,0.13186440351663747,0.13335656321266967,0.1276968920500673
2024-10-04,SOLANA,879,168,247,69872,0.8233922262229806,0.8087485521428571,0.8220214706115468,0.048687109455858926,0.03760513217440476,0.0593099003506655,0.1279206701353811,0.15364632320833332,0.11866862832294765
2024-10-04,XRP,1780,331,225,158049,0.8306201140646066,0.8561048935951662,0.7066739291920859,0.04895914380617977,0.052667755214501503,0.12071061611994065,0.12042075208539324,0.09122737472205437,0.17261545040026197
